"","Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"1",8857,"STANDARD","OLD BRIDGE","NJ","PRIMARY",40.39,-74.33,"NA-US-NJ-OLD BRIDGE","false",19292,34538,1102371464
"2",30004,"STANDARD","ALPHARETTA","GA","PRIMARY",34.06,-84.27,"NA-US-GA-ALPHARETTA","false",24115,45452,2051342137
"3",30005,"STANDARD","ALPHARETTA","GA","PRIMARY",34.06,-84.27,"NA-US-GA-ALPHARETTA","false",13244,27038,1182244735
"4",30019,"STANDARD","DACULA","GA","PRIMARY",33.98,-83.88,"NA-US-GA-DACULA","false",16200,32732,876162019
"5",30024,"STANDARD","SUWANEE","GA","PRIMARY",34.05,-84.07,"NA-US-GA-SUWANEE","false",26960,55195,1971018916
"6",30041,"STANDARD","CUMMING","GA","PRIMARY",34.2,-84.13,"NA-US-GA-CUMMING","false",21838,43444,1458824035
"7",30068,"STANDARD","MARIETTA","GA","PRIMARY",33.95,-84.54,"NA-US-GA-MARIETTA","false",15207,28538,1156658958
"8",30071,"STANDARD","NORCROSS","GA","PRIMARY",33.94,-84.2,"NA-US-GA-NORCROSS","false",9413,17175,295300119
"9",30097,"STANDARD","DULUTH","GA","PRIMARY",34,-84.15,"NA-US-GA-DULUTH","false",16740,33363,1428433221
"10",30115,"STANDARD","CANTON","GA","PRIMARY",34.24,-84.49,"NA-US-GA-CANTON","false",14489,28564,779574179
"11",30204,"STANDARD","BARNESVILLE","GA","PRIMARY",33.05,-84.15,"NA-US-GA-BARNESVILLE","false",5027,9083,139259455
"12",30214,"STANDARD","FAYETTEVILLE","GA","PRIMARY",33.44,-84.46,"NA-US-GA-FAYETTEVILLE","false",11780,21060,482245974
"13",30223,"STANDARD","GRIFFIN","GA","PRIMARY",33.24,-84.27,"NA-US-GA-GRIFFIN","false",14307,26236,377307793
"14",30269,"STANDARD","PEACHTREE CITY","GA","PRIMARY",33.39,-84.56,"NA-US-GA-PEACHTREE CITY","false",16289,31332,1003864377
"15",30328,"STANDARD","ATLANTA","GA","PRIMARY",33.93,-84.38,"NA-US-GA-ATLANTA","false",15396,25021,1011623513
"16",30341,"STANDARD","ATLANTA","GA","PRIMARY",33.9,-84.3,"NA-US-GA-ATLANTA","false",12964,21075,548100187
"17",30517,"STANDARD","BRASELTON","GA","PRIMARY",34.1,-83.78,"NA-US-GA-BRASELTON","false",4945,9607,278637585
"18",30518,"STANDARD","BUFORD","GA","PRIMARY",34.11,-83.99,"NA-US-GA-BUFORD","false",17994,34516,811725891
"19",31792,"STANDARD","THOMASVILLE","GA","PRIMARY",30.83,-83.97,"NA-US-GA-THOMASVILLE","false",9400,16661,310304611
"20",32055,"STANDARD","LAKE CITY","FL","PRIMARY",30.19,-82.64,"NA-US-FL-LAKE CITY","false",6547,11560,179519830
"21",32060,"STANDARD","LIVE OAK","FL","PRIMARY",30.29,-82.98,"NA-US-FL-LIVE OAK","false",7448,13766,196614129
"22",32605,"STANDARD","GAINESVILLE","FL","PRIMARY",29.67,-82.33,"NA-US-FL-GAINESVILLE","false",11574,18977,474289475
"23",32606,"STANDARD","GAINESVILLE","FL","PRIMARY",29.67,-82.33,"NA-US-FL-GAINESVILLE","false",10260,17526,452388305
"24",32615,"STANDARD","ALACHUA","FL","PRIMARY",29.77,-82.48,"NA-US-FL-ALACHUA","false",5468,9829,216037216
"25",36360,"STANDARD","OZARK","AL","PRIMARY",31.43,-85.64,"NA-US-AL-OZARK","false",8181,14902,243896495
"26",39819,"STANDARD","BAINBRIDGE","GA","PRIMARY",30.8,-84.5,"NA-US-GA-BAINBRIDGE","false",3859,7091,113385563
"27",40033,"STANDARD","LEBANON","KY","PRIMARY",37.56,-85.25,"NA-US-KY-LEBANON","false",5086,9191,144240446
"28",40069,"STANDARD","SPRINGFIELD","KY","PRIMARY",37.68,-85.22,"NA-US-KY-SPRINGFIELD","false",3584,6588,108840606
"29",42642,"STANDARD","RUSSELL SPRINGS","KY","PRIMARY",37.05,-85.07,"NA-US-KY-RUSSELL SPRINGS","false",4991,9335,119137997
"30",42718,"STANDARD","CAMPBELLSVILLE","KY","PRIMARY",37.34,-85.34,"NA-US-KY-CAMPBELLSVILLE","false",9728,17818,264063372
"31",42728,"STANDARD","COLUMBIA","KY","PRIMARY",37.09,-85.3,"NA-US-KY-COLUMBIA","false",5786,10774,142203490
"32",46227,"STANDARD","INDIANAPOLIS","IN","PRIMARY",39.77,-86.14,"NA-US-IN-INDIANAPOLIS","false",25528,42661,769736097
"33",67801,"STANDARD","DODGE CITY","KS","PRIMARY",37.75,-100.01,"NA-US-KS-DODGE CITY","false",12686,23849,397299197
"34",67846,"STANDARD","GARDEN CITY","KS","PRIMARY",37.97,-100.86,"NA-US-KS-GARDEN CITY","false",15107,28121,490595081
"35",70501,"STANDARD","LAFAYETTE","LA","PRIMARY",30.21,-92.02,"NA-US-LA-LAFAYETTE","false",12530,21063,293563752
"36",70503,"STANDARD","LAFAYETTE","LA","PRIMARY",30.21,-92.02,"NA-US-LA-LAFAYETTE","false",12104,20873,622300237
"37",70506,"STANDARD","LAFAYETTE","LA","PRIMARY",30.21,-92.02,"NA-US-LA-LAFAYETTE","false",17282,28238,621280718
"38",70508,"STANDARD","LAFAYETTE","LA","PRIMARY",30.21,-92.02,"NA-US-LA-LAFAYETTE","false",15228,26603,845579329
"39",70560,"STANDARD","NEW IBERIA","LA","PRIMARY",30,-91.81,"NA-US-LA-NEW IBERIA","false",16836,30351,528067931
"40",70570,"STANDARD","OPELOUSAS","LA","PRIMARY",30.52,-92.08,"NA-US-LA-OPELOUSAS","false",14824,27210,434795325
"41",70583,"STANDARD","SCOTT","LA","PRIMARY",30.23,-92.09,"NA-US-LA-SCOTT","false",5388,9559,188523591
"42",85086,"STANDARD","PHOENIX","AZ","PRIMARY",33.83,-112.11,"NA-US-AZ-PHOENIX","false",14825,29056,850418427
