"Zipcode","time","summary","icon","precipIntensity","precipProbability","temperature","apparentTemperature","dewPoint","windSpeed","windBearing","humidity","visibility","pressure","cloudCover","precipType"
30517,2012-12-31 23:00:00,"Overcast","cloudy",0,0,46.85,46.85,34.71,NA,NA,1,0.62,1018.72,10,NA,NA
30517,2013-01-01 00:00:00,"Light Rain","rain",0.0209,0.59,46.5,46.5,36.17,NA,NA,1,0.67,1018.87,8.33,"rain",NA
30517,2013-01-01 01:00:00,"Light Rain","rain",0.0487,0.7,45.76,42.62,40.16,6,350,1,0.81,1019.06,3.42,"rain",NA
30517,2013-01-01 02:00:00,"Rain","rain",0.1056,0.78,45.1,45.1,43.32,0,NA,1,0.93,1019.51,1.32,"rain",NA
30517,2013-01-01 03:00:00,"Light Rain","rain",0.0478,0.7,45.79,45.79,44.55,3,160,1,0.95,1019.34,0.91,"rain",NA
30517,2013-01-01 04:00:00,"Light Rain","rain",0.0417,0.68,46.32,46.32,45.21,0.5,170,1,0.96,1018.28,1.37,"rain",NA
30517,2013-01-01 05:00:00,"Light Rain","rain",0.0417,0.68,47.17,47.17,45.58,0,NA,1,0.94,1017.26,1.89,"rain",NA
30517,2013-01-01 06:00:00,"Rain","rain",0.0587,0.72,48.11,48.11,46.48,3,350,1,0.94,1016.23,2,"rain",NA
30517,2013-01-01 07:00:00,"Light Rain","rain",0.05,0.7,48.11,48.11,46.99,0.5,340,1,0.96,1016.03,2.21,"rain",NA
30517,2013-01-01 08:00:00,"Light Rain","rain",0.0491,0.7,49.54,49.54,47.29,1.91,140,1,0.92,1016.36,2.2,"rain",NA
30517,2013-01-01 09:00:00,"Light Rain","rain",0.017,0.57,49.35,49.35,47.29,2.85,118,1,0.93,1015.72,1.92,"rain",NA
30517,2013-01-01 10:00:00,"Light Rain","rain",0.0291,0.64,48.92,48.92,47.64,0,NA,1,0.95,1015.2,2.57,"rain",NA
30517,2013-01-01 11:00:00,"Rain","rain",0.063,0.73,49.54,49.54,47.82,1.91,100,1,0.94,1014.86,2.24,"rain",NA
30517,2013-01-01 12:00:00,"Light Rain","rain",0.0391,0.68,49.54,49.54,47.64,2.09,350,1,0.93,1015.03,2.8,"rain",NA
30517,2013-01-01 13:00:00,"Light Rain","rain",0.0261,0.62,49.54,49.54,47.9,2.34,32,1,0.94,1014.81,2.89,"rain",NA
30517,2013-01-01 14:00:00,"Light Rain","rain",0.0439,0.69,48.91,48.91,48.17,1.08,346,1,0.97,1014.66,2.45,"rain",NA
30517,2013-01-01 15:00:00,"Rain","rain",0.0648,0.73,50.42,50.42,48.96,3.58,355,1,0.95,1014.49,2.83,"rain",NA
30517,2013-01-01 16:00:00,"Light Rain","rain",0.0361,0.67,49.98,48.7,48.84,4.21,327,1,0.96,1014.27,2.56,"rain",NA
30517,2013-01-01 17:00:00,"Light Rain","rain",0.0191,0.58,50.1,50.1,49.47,1.44,302,1,0.98,1013.96,2.79,"rain",NA
30517,2013-01-01 18:00:00,"Light Rain","rain",0.0139,0.54,50.1,50.1,48.96,5.34,296,1,0.96,1013.2,2.73,"rain",NA
30517,2013-01-01 19:00:00,"Overcast","cloudy",0.003,0.1,50.1,50.1,48.96,3.68,285,1,0.96,1014.23,6.49,"rain",NA
30517,2013-01-01 20:00:00,"Mostly Cloudy","partly-cloudy-night",0.003,0.1,50.1,50.1,48.08,9.09,307,0.92,0.93,1014.62,9.02,"rain",NA
30517,2013-01-01 21:00:00,"Partly Cloudy","partly-cloudy-night",0,0,50.1,50.1,46.79,9.84,312,0.59,0.88,1014.99,9.75,NA,NA
