"Zipcode","time","summary","icon","precipIntensity","precipProbability","temperature","apparentTemperature","dewPoint","windSpeed","windBearing","humidity","visibility","pressure","cloudCover","precipType"
85086,2013-01-01 01:00:00,"Clear","clear-night",0,0,35.54,35.54,27.19,2.82,349,0.05,0.71,1022.94,9.61,NA,NA
85086,2013-01-01 02:00:00,"Clear","clear-night",0,0,33.58,29.28,26.71,4.62,90,0.09,0.76,1023.63,9.49,NA,NA
85086,2013-01-01 03:00:00,"Clear","clear-night",0,0,32.69,30.01,27.1,3.06,21,0.09,0.8,1024.02,10,NA,NA
85086,2013-01-01 04:00:00,"Clear","clear-night",0,0,33.86,27.2,27.23,7.86,28,0.09,0.76,1024.18,10,NA,NA
85086,2013-01-01 05:00:00,"Clear","clear-night",0,0,37.45,34.58,28.19,3.8,43,0.09,0.69,1024.54,10,NA,NA
85086,2013-01-01 06:00:00,"Clear","clear-night",0,0,43.71,40.57,29.02,5.39,32,0.16,0.56,1024.44,10,NA,NA
85086,2013-01-01 07:00:00,"Clear","clear-night",0,0,46.65,44.65,29.33,4.45,59,0.21,0.51,1024.25,10,NA,NA
85086,2013-01-01 08:00:00,"Clear","clear-night",0,0,49.71,49.71,28.58,NA,NA,0.16,0.44,1023.41,10,NA,NA
85086,2013-01-01 09:00:00,"Clear","clear-day",0,0,51.28,51.28,27.8,3,110,0.09,0.4,1022.3,10,NA,NA
85086,2013-01-01 10:00:00,"Clear","clear-day",0,0,53.47,53.47,25.95,NA,NA,0.09,0.34,1021.2,10,NA,NA
85086,2013-01-01 11:00:00,"Clear","clear-day",0,0,53.82,53.82,25.69,3.23,281,0.16,0.33,1020.59,9.1,NA,NA
85086,2013-01-01 12:00:00,"Clear","clear-day",0,0,53.89,53.89,25.7,2.58,293,0.09,0.33,1020.12,9.4,NA,NA
85086,2013-01-01 13:00:00,"Clear","clear-day",0,0,53.07,53.07,26.08,5.37,242,0.09,0.35,1019.92,9.1,NA,NA
85086,2013-01-01 14:00:00,"Clear","clear-day",0,0,51.05,51.05,26.6,3.19,245,0.09,0.38,1020.32,9.25,NA,NA
85086,2013-01-01 15:00:00,"Clear","clear-day",0,0,48.26,45.56,28.46,6.07,310,0.09,0.46,1020.74,9.1,NA,NA
